Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,FB,NFLX,T,TWTR,VZ
2010-01-04,6.74479689012244,6.89781283984111,6.74479689012244,6.833384990692139,21862645.040809058,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,,7.639999866485596,14.110112190246582,,17.75048065185547
2010-01-05,6.817279666594931,6.8374130851427095,6.664262920685342,6.740771293640137,28584253.14174164,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,,7.3585710525512695,14.040995597839355,,17.782485961914062
2010-01-06,6.756876456178725,6.764929360167258,6.6562078599379,6.692448616027832,22341502.36604176,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,,7.617143154144287,13.835540771484375,,17.271167755126953
2010-01-07,6.728689543814925,6.869625751843503,6.664261694665954,6.833384990692139,24333455.41202048,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,,7.485713958740234,13.680200576782227,,17.168363571166992
2010-01-08,6.817276900533686,6.873651064026603,6.768955640368062,6.8132500648498535,20499345.906465743,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,,7.614285945892334,13.579981803894043,,17.179183959960938
2010-01-11,6.7931210287454125,6.845468390262378,6.736746060910755,6.768959999084473,30691214.58566906,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,,7.604286193847656,13.514835357666016,,17.24952507019043
2010-01-12,6.744796019983838,6.744796019983838,6.607886666194662,6.648154258728027,29219664.381737743,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,,7.481429100036621,13.509821891784668,,17.265756607055664
2010-01-13,6.716610245823471,6.785064936071431,6.692449992806719,6.7528510093688965,25395712.26554796,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,,7.708570957183838,13.349467277526855,,17.244115829467773
2010-01-14,6.772986003011529,6.7770128407922945,6.6884247137377715,6.712584972381592,28045155.72578162,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,,7.284286022186279,13.123969078063965,,16.892410278320312
2010-01-15,6.740771379357528,6.772985310268027,6.5998351436088365,6.696476936340332,34820071.12816523,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,,7.278571128845215,12.923532485961914,,16.546123504638672
