Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,BAC,C,JPM,RF,WFC
2010-01-04,23.15786269005815,24.11585784693737,23.105058538562496,23.31627082824707,15366410.721027153,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,13.471972465515137,29.266489028930664,31.531375885009766,4.183120250701904,19.953964233398438
2010-01-05,23.391710423186133,24.236558379061748,23.33136424339262,24.168668746948242,16990030.527471177,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,13.909873008728027,30.385499954223633,32.14213562011719,4.322042942047119,20.501752853393555
2010-01-06,24.11585926071183,24.58354313001458,23.98008146520403,24.477937698364258,12845070.949047284,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,14.073015213012695,31.332359313964844,32.31874465942383,4.376068592071533,20.53096580505371
2010-01-07,24.48548548285192,25.0964921811329,24.342164202899387,24.832475662231445,14100652.897119045,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,14.536677360534668,31.418447494506836,32.95893859863281,4.761964321136475,21.275951385498047
2010-01-08,24.59108765703191,24.757040710902732,24.123405178661628,24.32707405090332,12064267.476766424,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,14.407876968383789,30.9019718170166,32.87798309326172,4.769683837890625,21.078750610351562
2010-01-11,24.432682384315857,24.48548511178938,23.957456398287736,24.168668746948242,7610037.693083325,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,14.536677360534668,31.24629020690918,32.76761245727539,4.877732753753662,21.034927368164062
2010-01-12,23.859393220353862,24.03288974809661,23.376623776674926,23.482229232788086,11174162.02681378,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,14.047255516052246,30.299436569213867,32.002342224121094,4.823707103729248,20.509050369262695
2010-01-13,23.452050248838393,24.13848839754222,23.165404893408603,23.580286026000977,14117621.237631293,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,14.27050495147705,30.127283096313477,32.561588287353516,4.908607006072998,20.874242782592773
2010-01-14,23.45959919068549,23.610463915225882,22.893853236434715,23.535032272338867,18624356.813935578,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,14.442228317260742,30.21335220336914,32.88535690307617,5.0552473068237305,21.1737003326416
2010-01-15,23.361530706340453,23.452050672523622,22.614746380701995,22.91647720336914,21052307.603471626,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,13.961393356323242,29.438636779785156,32.14213562011719,5.032092094421387,20.509050369262695
