Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,AMD,CSCO,INTC,MSFT,MU
2010-01-04,29.16566298471107,29.302269784366977,29.012662931359372,29.235332489013672,118032051.53481987,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,9.699999809265137,18.20545196533203,14.773453712463379,23.994550704956055,10.380000114440918
2010-01-05,29.341889510665293,29.45117606156951,29.13151486087233,29.28588104248047,143892888.39613834,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,9.710000038146973,18.124343872070312,14.766377449035645,24.002304077148438,10.380000114440918
2010-01-06,29.28588583841491,29.40200293176033,28.79000069994032,28.82005500793457,132000575.62994985,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,9.569999694824219,18.006359100341797,14.716846466064453,23.854999542236328,10.380000114440918
2010-01-07,28.917037252597655,28.96075077159555,28.557759073736637,28.766769409179688,114063870.13199641,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,9.470000267028809,18.087467193603516,14.575345039367676,23.608470916748047,10.380000114440918
2010-01-08,28.742184086638805,28.960755364097576,28.55912970701588,28.958024978637695,107070589.43004978,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,9.430000305175781,18.183332443237305,14.738076210021973,23.76972770690918,10.380000114440918
2010-01-11,29.093264862652912,29.097363176582746,28.475798331224624,28.70256805419922,110501887.83648778,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,9.140000343322754,18.1317138671875,14.822978973388672,23.46737289428711,10.899999618530273
2010-01-12,28.594645089212296,28.656117968833087,28.198483897127257,28.376073837280273,142113067.72994983,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,8.649999618530273,17.84413719177246,14.58100414276123,23.312314987182617,10.260000228881836
2010-01-13,28.43071571243569,28.814581957309787,27.88155447091511,28.77633285522461,144845611.63640994,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,9.149999618530273,18.168582916259766,14.830056190490723,23.529394149780273,10.460000038146973
2010-01-14,28.693006925075732,28.750381499394773,28.553667891484558,28.609676361083984,103550946.449702,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,9.0,18.397159576416016,15.19797420501709,24.002304077148438,10.729999542236328
2010-01-15,28.878794637990776,28.90611490953674,28.12335511391845,28.13155174255371,142083728.1858143,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,8.84000015258789,17.991613388061523,14.716846466064453,23.924774169921875,10.130000114440918
2010-01-19,28.46760185737077,29.396531073452017,28.310503480418657,29.376039505004883,174517412.71741495,79.0199966430664,1.4281021356582642,1.6356706619262695,1139.699951171875,18.784000396728516,91.1989974975586,10725.4296875,5513.10009765625,1150.22998046875,2320.39990234375,10764.900390625,649.1500244140625,3.7070000171661377,9.010000228881836,18.32342529296875,14.893729209899902,24.110841751098633,10.279999732971191
2010-01-20,29.35828542061735,29.445714304462566,28.61924095821623,28.92319107055664,146342710.59222785,77.62000274658203,1.4110342264175415,1.6298059225082397,1112.300048828125,17.865999221801758,91.19200134277344,10603.150390625,5420.7998046875,1138.0400390625,2291.25,10737.51953125,639.6099853515625,3.6589999198913574,8.869999885559082,17.998985290527344,14.914960861206055,23.711580276489258,9.979999542236328
2010-01-21,29.000373666417367,29.14023251517682,28.306407048723397,28.424163818359375,145387095.58217162,76.08000183105469,1.4097015857696533,1.620509147644043,1102.699951171875,17.496000289916992,90.39299774169922,10389.8798828125,5335.10009765625,1116.47998046875,2265.699951171875,10868.41015625,628.3599853515625,3.6110000610351562,8.989999771118164,17.681922912597656,14.745150566101074,23.26580238342285,9.800000190734863
2010-01-22,28.247668157713857,28.346024051206125,26.93350458001786,27.014102935791016,210797855.6306714,74.54000091552734,1.414107084274292,1.611006498336792,1089.199951171875,16.917999267578125,89.80999755859375,10172.98046875,5303.0,1091.760009765625,2205.2900390625,10590.5498046875,617.1199951171875,3.5980000495910645,7.880000114440918,16.93718910217285,14.087133407592773,22.451766967773438,9.130000114440918
