Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,AAPL,AMD,INTC,MSFT,NVDA
2010-01-04,11.240798852827355,11.656828016506156,11.224797349650569,11.440813064575195,14893138.212428885,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,6.572423458099365,9.699999809265137,14.773483276367188,23.994564056396484,4.2475457191467285
2010-01-05,11.392812913579,11.504821182185013,11.232801646280345,11.35280990600586,12139426.38193898,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,6.583786487579346,9.710000038146973,14.766404151916504,24.0023193359375,4.3095703125
2010-01-06,11.38480774721475,11.5208174624557,11.280801036024483,11.328804016113281,10964618.287648112,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,6.479064464569092,9.569999694824219,14.716876029968262,23.855012893676758,4.337137222290039
2010-01-07,11.312801094252135,11.368804814547566,11.16879065578564,11.208793640136719,17235780.100159626,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,6.467087268829346,9.470000267028809,14.575373649597168,23.606922149658203,4.252139091491699
2010-01-08,11.392811089455963,11.672831334639506,11.288803591616182,11.640829086303711,32972027.910566457,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,6.5100812911987305,9.430000305175781,14.738103866577148,23.769742965698242,4.261328220367432
2010-01-11,11.872841469344365,11.952846681004218,11.560819083788429,11.896842956542969,26936148.78109583,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,6.452652454376221,9.140000343322754,14.823006629943848,23.467388153076172,4.201601028442383
2010-01-12,11.808840593711565,11.816841346213938,11.224798631932257,11.360808372497559,32283017.515162583,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,6.379251956939697,8.649999618530273,14.582448959350586,23.31233024597168,4.059175491333008
2010-01-13,11.432812683756229,11.536820168797338,11.13679173232862,11.4168119430542,20111269.632090237,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,6.469234466552734,9.149999618530273,14.830082893371582,23.529409408569336,4.1143059730529785
2010-01-14,11.3768084073419,11.504817378862956,11.216797192940579,11.480815887451172,21537930.02662446,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,6.431767463684082,9.0,15.198004722595215,24.0023193359375,4.049984455108643
2010-01-15,11.328805005229938,11.472815484057097,10.936777327304538,10.984780311584473,28818128.076707646,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,6.324280738830566,8.84000015258789,14.716876029968262,23.924789428710938,3.930530548095703
2010-01-19,11.01678283981959,11.216797045948542,11.000781337092326,11.176794052124023,11697550.82556314,79.0199966430664,1.4281021356582642,1.6356706619262695,1139.699951171875,18.784000396728516,91.1989974975586,10725.4296875,5513.10009765625,1150.22998046875,2320.39990234375,10764.900390625,649.1500244140625,3.7070000171661377,6.604054927825928,9.010000228881836,14.893758773803711,24.110857009887695,4.004042625427246
2010-01-20,11.064785372262776,11.112789115499716,10.92077490554557,11.040783882141113,15377251.553518163,77.62000274658203,1.4110342264175415,1.6298059225082397,1112.300048828125,17.865999221801758,91.19200134277344,10603.150390625,5420.7998046875,1138.0400390625,2291.25,10737.51953125,639.6099853515625,3.6589999198913574,6.502403736114502,8.869999885559082,14.91499137878418,23.715465545654297,3.9879603385925293
