Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,EBAY,F,GM,MGM,SBUX
2010-06-29,3.799999952316284,5.0,3.507999897003174,4.7779998779296875,93831500.0,75.94000244140625,1.2186353206634521,1.5053439140319824,1242.0,18.5939998626709,88.64900207519531,9870.2998046875,4914.2001953125,1041.239990234375,2135.179931640625,9570.669921875,615.9600219726562,2.9670000076293945,7.998337268829346,6.799376010894775,,9.49638557434082,10.409344673156738
2010-06-30,5.1579999923706055,6.084000110626221,4.659999847412109,4.765999794006348,85935500.0,75.62999725341797,1.223002314567566,1.4944332838058472,1245.5,18.67099952697754,88.43000030517578,9774.01953125,4916.89990234375,1030.7099609375,2109.239990234375,9382.6396484375,609.489990234375,2.9509999752044678,7.965839385986328,6.937015533447266,,9.108968734741211,10.113835334777832
2010-07-01,5.0,5.184000015258789,4.053999900817871,4.392000198364258,41094000.0,72.94999694824219,1.2507504224777222,1.5165761709213257,1206.300048828125,17.760000228881836,87.5999984741211,9732.5302734375,4805.7998046875,1027.3699951171875,2101.360107421875,9191.599609375,604.760009765625,2.927000045776367,7.978025436401367,7.274231433868408,,9.165663719177246,10.263673782348633
2010-07-02,4.599999904632568,4.619999885559082,3.742000102996826,3.8399999141693115,25699000.0,72.13999938964844,1.257102608680725,1.5204963684082031,1207.4000244140625,17.697999954223633,87.79000091552734,9686.48046875,4838.10009765625,1022.5800170898438,2091.7900390625,9203.7099609375,598.969970703125,2.9790000915527344,7.823666095733643,7.0746541023254395,,8.957784652709961,10.134648323059082
2010-07-06,4.0,4.0,3.1659998893737793,3.2219998836517334,34334500.0,71.9800033569336,1.262403130531311,1.5143942832946777,1194.800048828125,17.83300018310547,87.4800033569336,9743.6201171875,4965.0,1028.06005859375,2093.8798828125,9338.0400390625,590.030029296875,2.931999921798706,7.860224723815918,6.992071151733398,,8.75935173034668,9.826656341552734
2010-07-07,3.2799999713897705,3.3259999752044678,2.996000051498413,3.1600000858306885,34608500.0,74.06999969482422,1.2633121013641357,1.5178422927856445,1198.5999755859375,17.979000091552734,87.68000030517578,10018.2802734375,5014.7998046875,1060.27001953125,2159.469970703125,9279.650390625,611.6599731445312,2.9800000190734863,8.047080993652344,7.2879958152771,,9.354645729064941,10.155458450317383
2010-07-08,3.2279999256134033,3.503999948501587,3.114000082015991,3.492000102996826,38557000.0,75.44000244140625,1.2694060802459717,1.5154958963394165,1195.800048828125,17.851999282836914,88.41000366210938,10138.990234375,5105.5,1070.25,2175.39990234375,9535.740234375,620.27001953125,3.0199999809265137,8.07957935333252,7.308640956878662,,9.279052734375,10.338587760925293
2010-07-09,3.5160000324249268,3.5799999237060547,3.309999942779541,3.4800000190734863,20253000.0,76.08999633789062,1.2643983364105225,1.5067956447601318,1209.5999755859375,18.05299949645996,88.56999969482422,10198.0302734375,5132.89990234375,1077.9599609375,2196.449951171875,9585.3203125,629.4299926757812,3.055999994277954,8.2420654296875,7.4669270515441895,,9.420791625976562,10.530043601989746
2010-07-12,3.5899999141693115,3.614000082015991,3.4000000953674316,3.4100000858306885,11012500.0,74.94999694824219,1.2590018510818481,1.5024038553237915,1198.5,17.89699935913086,88.63899993896484,10216.26953125,5167.0,1078.75,2198.360107421875,9548.1103515625,621.6099853515625,3.0460000038146973,8.213629722595215,7.638974666595459,,9.279052734375,10.517557144165039
2010-07-13,3.4779999256134033,3.7279999256134033,3.380000114440918,3.628000020980835,13400500.0,77.1500015258789,1.2720866203308105,1.5185105800628662,1213.300048828125,18.23699951171875,88.79299926757812,10363.01953125,5271.0,1095.3399658203125,2242.030029296875,9537.23046875,642.8200073242188,3.114000082015991,8.534539222717285,8.024368286132812,,9.827103614807129,10.796417236328125
2010-07-14,3.5880000591278076,4.03000020980835,3.552000045776367,3.9679999351501465,20976000.0,77.04000091552734,1.274047613143921,1.526810884475708,1206.800048828125,18.27400016784668,88.2699966430664,10366.7197265625,5253.5,1095.1700439453125,2249.840087890625,9795.240234375,640.1599731445312,3.049999952316284,8.575159072875977,8.127593994140625,,9.846002578735352,10.821389198303223
2010-07-15,3.98799991607666,4.300000190734863,3.799999952316284,3.9779999256134033,18699000.0,76.62000274658203,1.2928582429885864,1.5443061590194702,1208.0999755859375,18.34600067138672,87.33999633789062,10359.3095703125,5211.2998046875,1096.47998046875,2249.080078125,9685.5302734375,634.6199951171875,2.9779999256134033,8.542662620544434,8.162003517150879,,9.685365676879883,10.875500679016113
2010-07-16,4.139999866485596,4.260000228881836,4.010000228881836,4.127999782562256,13106500.0,76.01000213623047,1.2931926250457764,1.530690312385559,1188.0,17.773000717163086,86.55999755859375,10097.900390625,5158.89990234375,1064.8800048828125,2179.050048828125,9408.3603515625,610.3900146484375,2.938999891281128,8.160820007324219,7.80414342880249,,9.099520683288574,10.550854682922363
2010-07-19,4.27400016784668,4.449999809265137,4.184000015258789,4.381999969482422,12432500.0,76.54000091552734,1.2939456701278687,1.5225566625595093,1181.699951171875,17.534000396728516,86.76000213623047,10154.4296875,5148.2998046875,1071.25,2198.22998046875,,613.0800170898438,2.9639999866485596,8.286748886108398,7.9004902839660645,,9.023927688598633,10.609123229980469
2010-07-20,4.369999885559082,4.369999885559082,4.010000228881836,4.059999942779541,9126500.0,77.44000244140625,1.289307713508606,1.5287247896194458,1191.5,17.684999465942383,87.24199676513672,10229.9599609375,5139.5,1083.47998046875,2222.489990234375,,624.239990234375,2.931999921798706,8.445172309875488,8.0863037109375,,9.477484703063965,10.725662231445312
