Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,ABT,BMY,BSX,GILD,MRK
2010-01-04,11.904051303665195,12.34059837984622,11.881246707673126,12.33408260345459,33938339.30230453,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,19.78809356689453,17.50811004638672,9.010000228881836,17.833606719970703,25.060321807861328
2010-01-05,12.327564731419177,12.334080506703147,12.086486016940514,12.158158302307129,28261628.77981418,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,19.62822723388672,17.234865188598633,9.039999961853027,17.817138671875,25.161897659301758
2010-01-06,12.158161565190206,12.255895735164536,12.060427395215875,12.119068145751953,26979371.86989196,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,19.737226486206055,17.2280330657959,9.15999984741211,18.434925079345703,25.500452041625977
2010-01-07,12.145125894422899,12.164673218894979,12.027844433104374,12.073454856872559,25690837.148841742,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,19.900739669799805,17.2417049407959,9.09000015258789,18.4802303314209,25.54108238220215
2010-01-08,12.132098752802777,12.190738256004142,12.066942230320116,12.171192169189453,19813441.708514657,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,20.00247573852539,16.954788208007812,9.0,18.344322204589844,25.527542114257812
2010-01-11,12.268924713134766,12.347112778351592,12.164674788017088,12.268924713134766,21143200.93447422,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,20.104215621948242,17.132396697998047,9.069999694824219,18.48847007751465,25.629106521606445
2010-01-12,12.249378735620649,12.37317600137021,12.145128799018051,12.229832649230957,26892280.000331324,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,20.04607582092285,16.947961807250977,9.140000343322754,18.51318359375,25.425966262817383
2010-01-13,12.294987486289902,12.575158375811933,12.294987486289902,12.516517639160156,38779569.43860601,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,20.236801147460938,17.070919036865234,9.149999618530273,18.743820190429688,26.360403060913086
2010-01-14,12.510008536902673,12.705476915421485,12.464398088674484,12.627288818359375,30798520.40889226,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,20.258769989013672,17.111909866333008,9.510000228881836,18.72322654724121,27.078149795532227
2010-01-15,12.659862125979634,12.822752783817236,12.54909642893978,12.698955535888672,49928625.45588226,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,20.310012817382812,17.125566482543945,9.430000305175781,18.747941970825195,26.72604751586914
