Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,BAC,C,JPM,MS,RF
2010-01-04,19.73485097888815,20.070824821549003,19.588774547155896,19.953964233398438,28729983.882261574,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,13.471972465515137,29.266489028930664,31.531375885009766,23.31627082824707,4.183120250701904
2010-01-05,19.917449796057113,20.625917427213594,19.895537908998858,20.501752853393555,40474711.38138792,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,13.909873008728027,30.385499954223633,32.14213562011719,24.168668746948242,4.322042942047119
2010-01-06,20.47253550756695,20.691648774870263,20.29724461510666,20.53096580505371,24275620.620629925,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,14.073015213012695,31.332359313964844,32.31874465942383,24.477937698364258,4.376068592071533
2010-01-07,20.5382694147647,21.495066042138344,20.392192977004502,21.275951385498047,45027159.7924087,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,14.536677360534668,31.418447494506836,32.95893859863281,24.832475662231445,4.761964321136475
2010-01-08,21.10796506288896,21.436636360735935,20.888851793049778,21.078750610351562,25934823.83812995,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,14.407876968383789,30.9019718170166,32.87798309326172,24.32707405090332,4.769683837890625
2010-01-11,21.246738074984115,21.305168374608918,20.874244392467915,21.034927368164062,17812347.7520505,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,14.536677360534668,31.24629020690918,32.76761245727539,24.168668746948242,4.877732753753662
2010-01-12,20.79389784604381,20.85232813341142,20.08543043757553,20.509050369262695,29065443.791393388,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,14.047255516052246,30.299436569213867,32.002342224121094,23.482229232788086,4.823707103729248
2010-01-13,20.44331883368573,21.005711294881447,20.304546360371226,20.874242782592773,26816098.25338119,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,14.27050495147705,30.127283096313477,32.561588287353516,23.580286026000977,4.908607006072998
2010-01-14,20.815814565182734,21.33438331198387,20.815814565182734,21.1737003326416,23036679.384423126,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,14.442228317260742,30.21335220336914,32.88535690307617,23.535032272338867,5.0552473068237305
2010-01-15,21.049530875685086,21.107961163052696,20.362973954299697,20.509050369262695,34514730.626000926,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,13.961393356323242,29.438636779785156,32.14213562011719,22.91647720336914,5.032092094421387
2010-01-19,20.39949731213044,20.793901472371473,20.165776121900464,20.65513038635254,29811020.168093525,79.0199966430664,1.4281021356582642,1.6356706619262695,1139.699951171875,18.784000396728516,91.1989974975586,10725.4296875,5513.10009765625,1150.22998046875,2320.39990234375,10764.900390625,649.1500244140625,3.7070000171661377,14.01291275024414,30.47157859802246,31.847808837890625,23.504854202270508,5.024373531341553
