Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,AAPL,AMD,CSCO,INTC,MSFT
2010-01-04,10.079999923706055,10.489999771118164,9.800000190734863,10.380000114440918,33331482.0,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,29.235332489013672,9.699999809265137,18.20545196533203,14.773453712463379,23.994550704956055
2010-01-05,10.079999923706055,10.489999771118164,9.800000190734863,10.380000114440918,33331482.0,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,29.28588104248047,9.710000038146973,18.124343872070312,14.766377449035645,24.002304077148438
2010-01-06,10.079999923706055,10.489999771118164,9.800000190734863,10.380000114440918,33331482.0,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,28.82005500793457,9.569999694824219,18.006359100341797,14.716846466064453,23.854999542236328
2010-01-07,10.079999923706055,10.489999771118164,9.800000190734863,10.380000114440918,33331482.0,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,28.766769409179688,9.470000267028809,18.087467193603516,14.575345039367676,23.608470916748047
2010-01-08,10.079999923706055,10.489999771118164,9.800000190734863,10.380000114440918,33331482.0,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,28.958024978637695,9.430000305175781,18.183332443237305,14.738076210021973,23.76972770690918
2010-01-11,11.239999771118164,11.3149995803833,10.819999694824219,10.899999618530273,29135134.0,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,28.70256805419922,9.140000343322754,18.1317138671875,14.822978973388672,23.46737289428711
2010-01-12,10.619999885559082,10.65999984741211,10.140000343322754,10.260000228881836,46115942.0,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,28.376073837280273,8.649999618530273,17.84413719177246,14.58100414276123,23.312314987182617
2010-01-13,10.3100004196167,10.5600004196167,9.970000267028809,10.460000038146973,33524162.0,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,28.77633285522461,9.149999618530273,18.168582916259766,14.830056190490723,23.529394149780273
2010-01-14,10.470000267028809,10.949999809265137,10.430000305175781,10.729999542236328,33867948.0,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,28.609676361083984,9.0,18.397159576416016,15.19797420501709,24.002304077148438
2010-01-15,10.65999984741211,10.699999809265137,10.039999961853027,10.130000114440918,31003812.0,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,28.13155174255371,8.84000015258789,17.991613388061523,14.716846466064453,23.924774169921875
2010-01-19,10.140000343322754,10.300000190734863,10.039999961853027,10.279999732971191,18545341.0,79.0199966430664,1.4281021356582642,1.6356706619262695,1139.699951171875,18.784000396728516,91.1989974975586,10725.4296875,5513.10009765625,1150.22998046875,2320.39990234375,10764.900390625,649.1500244140625,3.7070000171661377,29.376039505004883,9.010000228881836,18.32342529296875,14.893729209899902,24.110841751098633
2010-01-20,9.989999771118164,10.069999694824219,9.729999542236328,9.979999542236328,42202985.0,77.62000274658203,1.4110342264175415,1.6298059225082397,1112.300048828125,17.865999221801758,91.19200134277344,10603.150390625,5420.7998046875,1138.0400390625,2291.25,10737.51953125,639.6099853515625,3.6589999198913574,28.92319107055664,8.869999885559082,17.998985290527344,14.914960861206055,23.711580276489258
