Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,KR,MDLZ,MO,PG,WMT
2010-01-04,18.280773169724746,18.299962664090266,18.19762113415537,18.242395401000977,8871995.691050723,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,7.5065836906433105,14.02351188659668,10.174209594726562,42.46870422363281,40.75008773803711
2010-01-05,18.181627758534763,18.226403241643602,17.954557584229327,18.021718978881836,14821880.822517803,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,7.418613910675049,14.708589553833008,10.179347038269043,42.48261260986328,40.34432601928711
2010-01-06,18.0217208244994,18.050504456584967,17.90338865703976,18.01532554626465,12322315.967944354,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,7.422276973724365,14.810835838317871,10.32844352722168,42.28110885620117,40.254146575927734
2010-01-07,18.015326025996035,18.02811780281347,17.82983123205899,17.970550537109375,8465316.033141091,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,7.495586395263672,14.775049209594727,10.313016891479492,42.05181121826172,40.27668380737305
2010-01-08,17.737082118905843,17.79464937903991,17.510011937269915,17.637939453125,18365459.97251758,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,7.425944805145264,14.790390014648438,10.338723182678223,41.99623489379883,40.07380676269531
2010-01-11,17.63793848754634,18.05370106130387,17.526001612299257,17.99613380432129,18320684.509814117,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,7.455265998840332,14.72392749786377,10.415839195251465,41.82945251464844,40.73506546020508
2010-01-12,17.93856886032427,18.229602821480956,17.92897472292583,18.191225051879883,14884182.867905177,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,7.590884208679199,14.97443675994873,10.35928726196289,42.30888748168945,41.12579345703125
2010-01-13,18.184835979269714,18.36713198432331,18.130466331793347,18.23920440673828,9695210.33814419,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,7.56156063079834,14.943763732910156,10.405556678771973,42.746646881103516,41.33620071411133
2010-01-14,18.242397471755414,18.30955887964754,18.156046567319507,18.271181106567383,7926743.733516859,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,7.56156063079834,14.887527465820312,10.477531433105469,42.78833770751953,40.73506546020508
2010-01-15,18.213612525740672,18.34153883346755,17.92257855915233,18.002532958984375,17564894.26326195,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,7.594550609588623,15.122700691223145,10.498098373413086,42.26026153564453,40.336795806884766
