Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,C,JPM,MS,RF,WFC
2010-01-04,13.085587175391446,13.523490886331805,12.98255115261563,13.471972465515137,155279815.15776163,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,29.266489028930664,31.531375885009766,23.31627082824707,4.183120250701904,19.953964233398438
2010-01-05,13.514900473000685,13.918457908498246,13.480555141918822,13.909873008728027,179902057.2969308,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,30.385499954223633,32.14213180541992,24.168668746948242,4.322042942047119,20.501752853393555
2010-01-06,13.91846078180963,14.201811664158521,13.763907988321472,14.073015213012695,176241457.47309974,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,31.332359313964844,32.31874084472656,24.477937698364258,4.376068592071533,20.53096580505371
2010-01-07,14.322018809168744,14.755628362333407,14.176050928731327,14.536677360534668,275508546.7711352,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,31.418447494506836,32.95893096923828,24.832475662231445,4.761964321136475,21.275951385498047
2010-01-08,14.579602760234526,14.682639545516281,14.279080577353058,14.407876968383789,188989269.32336584,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,30.9019718170166,32.87798309326172,24.32707405090332,4.769683837890625,21.078750610351562
2010-01-11,14.588194954302352,14.71698975757895,14.356363325775607,14.536677360534668,145101957.03379336,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,31.24629020690918,32.767608642578125,24.168668746948242,4.877732753753662,21.034927368164062
2010-01-12,14.35636270296334,14.38212231758706,13.884114565531439,14.047255516052246,191893323.63049924,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,30.299436569213867,32.00233840942383,23.482229232788086,4.823707103729248,20.509050369262695
2010-01-13,14.107363951167837,14.40788632930106,13.866945721118217,14.27050495147705,165381428.20953763,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,30.127283096313477,32.56158447265625,23.580286026000977,4.908607006072998,20.874242782592773
2010-01-14,14.27908734561697,14.52809207274246,14.25762181617527,14.442228317260742,122729864.41550286,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,30.21335220336914,32.885353088378906,23.535032272338867,5.0552473068237305,21.1737003326416
2010-01-15,14.287673656683365,14.296260195865855,13.935633738775774,13.961393356323242,167677828.4486925,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,29.438636779785156,32.14213180541992,22.91647720336914,5.032092094421387,20.509050369262695
2010-01-19,13.789667616022713,14.141707579063974,13.60076864293463,14.01291275024414,155942087.67492887,79.0199966430664,1.4281021356582642,1.6356706619262695,1139.699951171875,18.784000396728516,91.1989974975586,10725.4296875,5513.10009765625,1150.22998046875,2320.39990234375,10764.900390625,649.1500244140625,3.7070000171661377,30.47157859802246,31.84780502319336,23.504854202270508,5.024373531341553,20.65513038635254
2010-01-20,13.927047628173593,14.279087556914591,13.892703108101639,14.158879280090332,247922943.0232241,77.62000274658203,1.4110342264175415,1.6298059225082397,1112.300048828125,17.865999221801758,91.19200134277344,10603.150390625,5420.7998046875,1138.0400390625,2291.25,10737.51953125,639.6099853515625,3.6589999198913574,29.782957077026367,31.93610382080078,23.105070114135742,5.1941704750061035,20.319154739379883
2010-01-21,14.133117359594099,14.304844845125865,13.05123895011654,13.28307056427002,473352498.6831453,76.08000183105469,1.4097015857696533,1.620509147644043,1102.699951171875,17.496000289916992,90.39299774169922,10389.8798828125,5335.10009765625,1116.47998046875,2265.699951171875,10868.41015625,628.3599853515625,3.6110000610351562,28.147478103637695,29.831552505493164,22.131982803344727,5.294502258300781,20.450620651245117
2010-01-22,13.102759496418738,13.326004608932223,12.630510471904051,12.79365062713623,317369075.12275004,74.54000091552734,1.414107084274292,1.611006498336792,1089.199951171875,16.917999267578125,89.80999755859375,10172.98046875,5303.0,1091.760009765625,2205.2900390625,10590.5498046875,617.1199951171875,3.5980000495910645,27.975317001342773,28.816078186035156,20.970317840576172,5.093836307525635,19.910146713256836
2010-01-25,13.016897287492016,13.111347594940545,12.682030397760162,12.862342834472656,225264031.6157515,75.26000213623047,1.4150075912475586,1.6250121593475342,1095.199951171875,17.131000518798828,90.41500091552734,10196.8603515625,5260.2998046875,1096.780029296875,2210.800048828125,10512.6904296875,618.1099853515625,3.630000114440918,27.80316162109375,28.852874755859375,20.925058364868164,5.0552473068237305,20.20229148864746
2010-01-26,12.827995845409163,13.025482156577324,12.639096892466092,12.682028770446777,182357265.31416696,74.70999908447266,1.4082324504852295,1.614700198173523,1097.9000244140625,16.84600067138672,89.62999725341797,10194.2900390625,5276.89990234375,1092.1700439453125,2203.72998046875,10325.2802734375,612.1599731445312,3.630000114440918,27.114547729492188,28.286264419555664,20.61578369140625,4.692502975463867,19.712936401367188
2010-01-27,12.63051090963306,13.128518750894662,12.604752109252631,13.042654991149902,222142579.78840044,73.66999816894531,1.4030951261520386,1.6178088188171387,1084.4000244140625,16.42799949645996,89.94999694824219,10236.16015625,5217.5,1097.5,2221.409912109375,10252.080078125,618.3800048828125,3.6440000534057617,27.54493522644043,28.941179275512695,21.122114181518555,4.761964321136475,20.596704483032227
