Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,COP,HAL,KMI,SLB,XOM
2010-01-04,15.024904057351673,15.223658884336434,14.9681163154262,15.195265769958496,7310002.350214016,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,26.59975242614746,25.859865188598633,,49.59526443481445,43.66438674926758
2010-01-05,15.25678256159582,15.304105424202927,15.157405155388693,15.209461212158203,7523464.101346152,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,26.625043869018555,26.190874099731445,,49.73567581176758,43.834869384765625
2010-01-06,15.195264954637299,15.569111642339852,15.147942091100173,15.545450210571289,12085582.187123373,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,26.817279815673828,26.81151008605957,,50.84418487548828,44.2137451171875
2010-01-07,15.498123743604733,15.498123743604733,15.24731446546434,15.450800895690918,6190417.888251551,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,26.711040496826172,26.877710342407227,,51.36887741088867,44.0748176574707
2010-01-08,15.370362359675138,15.521795880147119,15.30884443073254,15.474472999572754,6017656.389215996,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,26.943750381469727,28.23482894897461,,52.21137237548828,43.89800262451172
2010-01-11,15.602243566587488,15.640101568412968,15.35143411534743,15.474472999572754,7943742.7373301545,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,27.10057830810547,27.953481674194336,,52.21137237548828,44.39053726196289
2010-01-12,15.299373604479106,15.370356384576624,15.204727880123116,15.261515617370605,7154393.534363978,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,26.523860931396484,27.548006057739258,,51.428009033203125,44.16954040527344
2010-01-13,15.252050880602905,15.275712311906458,14.968115218129753,15.209461212158203,7771507.137650075,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,26.690805435180664,28.176908493041992,,52.35917282104492,43.99275207519531
2010-01-14,15.270984546771977,15.270984546771977,15.034371686232538,15.129015922546387,6719224.014161661,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,26.802095413208008,28.392059326171875,,52.68431854248047,43.999046325683594
2010-01-15,15.100620376623375,15.100620376623375,14.674717598719802,14.97284984588623,11437614.265720831,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,26.822343826293945,28.160350799560547,,52.34440231323242,43.63912582397461
