Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,AAL,CSX,DAL,LUV,UAL
2010-01-04,10.640668603716094,10.934300170640002,10.59172931561527,10.801466941833496,50754285.96028568,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,19.485851287841797,15.143754005432129,9.966129302978516,10.363508224487305,12.800000190734863
2010-01-05,10.808454943604996,10.955271380897845,10.801464014978345,10.857394218444824,48840546.83627871,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,21.101259231567383,15.543577194213867,10.74778938293457,10.910417556762695,13.90999984741211
2010-01-06,10.85739716045529,10.920317615984553,10.79447531769902,10.801466941833496,41966075.99646479,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,20.47023582458496,15.593168258666992,10.756668090820312,10.585978507995605,13.270000457763672
2010-01-07,10.822439325305512,11.521563518840868,10.787483289032103,11.360764503479004,140332882.76001838,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,20.823604583740234,15.48468017578125,11.2718505859375,10.743566513061523,13.550000190734863
2010-01-08,11.40271321314329,11.668381055401658,11.374748104104146,11.605459213256836,87097019.45425363,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,20.47023582458496,16.23474884033203,11.076436042785645,10.502552032470703,13.329999923706055
2010-01-11,11.766255644256022,11.801212369639751,11.563508995315768,11.717315673828125,58014491.64457456,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,20.318790435791016,16.073577880859375,11.360674858093262,10.623062133789062,13.109999656677246
2010-01-12,11.59147669335229,11.769752703378837,11.584485762878376,11.724309921264648,48895161.54769928,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,19.7130126953125,15.717141151428223,11.138614654541016,10.502552032470703,12.6899995803833
2010-01-13,11.717315409399692,11.82917581832188,11.584482907837916,11.766255378723145,49439656.07965887,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,20.419754028320312,15.81322956085205,11.413971900939941,10.687945365905762,13.949999809265137
2010-01-14,11.738291093902346,11.794221302258206,11.661387404219726,11.675369262695312,43415794.93272537,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,20.924571990966797,15.66755485534668,11.698209762573242,10.623062133789062,13.930000305175781
2010-01-15,11.661387923236038,11.710326510918849,11.430676843919864,11.493597984313965,56083735.63644449,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,20.419754028320312,15.509479522705078,11.316263198852539,10.456208229064941,13.25
