Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,BAC,C,MS,RF,WFC
2010-01-04,30.751371622526587,31.634397911113133,30.6630670287237,31.531375885009766,26093778.165375367,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,13.471972465515137,29.266489028930664,23.31627082824707,4.183120250701904,19.953964233398438
2010-01-05,31.487225343467948,32.25987226752533,31.479865224031947,32.14213562011719,30323323.21475575,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,13.909873008728027,30.385499954223633,24.168668746948242,4.322042942047119,20.501752853393555
2010-01-06,31.972894778081276,32.44384144744749,31.86987554504036,32.31874465942383,20404519.76372848,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,14.073015213012695,31.332359313964844,24.477937698364258,4.376068592071533,20.53096580505371
2010-01-07,32.22308376664046,33.20176923351731,32.09062967231676,32.95893859863281,33013906.28088742,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,14.536677360534668,31.418447494506836,24.832475662231445,4.761964321136475,21.275951385498047
2010-01-08,32.64986716129362,32.89270052181409,32.436471464940375,32.87798309326172,24364218.90288351,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,14.407876968383789,30.9019718170166,24.32707405090332,4.769683837890625,21.078750610351562
2010-01-11,33.201766889786214,33.253276499824516,32.60572631446783,32.76761245727539,23458093.776714876,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,14.536677360534668,31.24629020690918,24.168668746948242,4.877732753753662,21.034927368164062
2010-01-12,32.37026980504789,32.48800651866188,31.59761963944988,32.002342224121094,34665842.33285789,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,14.047255516052246,30.299436569213867,23.482229232788086,4.823707103729248,20.509050369262695
2010-01-13,32.04648915416328,32.76762681780383,31.546107459871564,32.561588287353516,29156050.872802734,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,14.27050495147705,30.127283096313477,23.580286026000977,4.908607006072998,20.874242782592773
2010-01-14,32.52478954735968,32.95894408275782,32.451202367678036,32.88535690307617,27917086.017772615,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,14.442228317260742,30.21335220336914,23.535032272338867,5.0552473068237305,21.1737003326416
2010-01-15,32.59836477794086,32.69402668116719,31.891944893491996,32.14213562011719,51317406.34804746,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,13.961393356323242,29.438636779785156,22.91647720336914,5.032092094421387,20.509050369262695
2010-01-19,31.936113473772327,32.193661644099315,31.56818591212548,31.847808837890625,30708338.07773098,79.0199966430664,1.4281021356582642,1.6356706619262695,1139.699951171875,18.784000396728516,91.1989974975586,10725.4296875,5513.10009765625,1150.22998046875,2320.39990234375,10764.900390625,649.1500244140625,3.7070000171661377,14.01291275024414,30.47157859802246,23.504854202270508,5.024373531341553,20.65513038635254
2010-01-20,31.649121831943486,32.142146134093515,31.428365896724912,31.936107635498047,29385927.46358678,77.62000274658203,1.4110342264175415,1.6298059225082397,1112.300048828125,17.865999221801758,91.19200134277344,10603.150390625,5420.7998046875,1138.0400390625,2291.25,10737.51953125,639.6099853515625,3.6589999198913574,14.158879280090332,29.782957077026367,23.105070114135742,5.1941704750061035,20.319154739379883
2010-01-21,31.671189396945927,31.75213386929995,29.66966356078512,29.831552505493164,101215129.30179091,76.08000183105469,1.4097015857696533,1.620509147644043,1102.699951171875,17.496000289916992,90.39299774169922,10389.8798828125,5335.10009765625,1116.47998046875,2265.699951171875,10868.41015625,628.3599853515625,3.6110000610351562,13.28307056427002,28.147478103637695,22.131982803344727,5.294502258300781,20.450620651245117
