Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,AAL,DAL,GE,LUV,UAL
2010-01-04,4.374284158528404,4.391249051300968,4.309995901797696,4.362676620483398,20229122.875521347,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,4.496876239776611,9.966129302978516,114.0484390258789,10.363508224487305,12.800000190734863
2010-01-05,4.373391364305029,4.486788643064741,4.3582121285929585,4.477859973907471,28860311.9616745,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,5.005957126617432,10.74778938293457,114.63897705078125,10.910417556762695,13.90999984741211
2010-01-06,4.485001192360635,4.527860013379051,4.448392935397476,4.492144584655762,23913316.28684612,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,4.79855489730835,10.756668090820312,114.0484390258789,10.585978507995605,13.270000457763672
2010-01-07,4.474289118221444,4.495717773120449,4.428751023228456,4.460895538330078,18789870.229361724,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,4.93996524810791,11.2718505859375,119.95384216308594,10.743566513061523,13.550000190734863
2010-01-08,4.441252549108625,4.7171561807577955,4.432323495060634,4.676976203918457,43850266.83708269,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,4.8456902503967285,11.076436042785645,122.53746795654297,10.502552032470703,13.329999923706055
2010-01-11,4.696618097105706,4.703761491937135,4.592149875375328,4.630544185638428,30536065.97589177,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,4.751416206359863,11.360674858093262,123.71858215332031,10.623062133789062,13.109999656677246
2010-01-12,4.5841145913199846,4.5841145913199846,4.487682190029682,4.527862548828125,27087646.27423541,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,4.789126873016357,11.138614654541016,123.79234313964844,10.502552032470703,12.6899995803833
2010-01-13,4.532327955018112,4.570722663785745,4.4742902437868945,4.555543422698975,19925367.78457406,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,5.16622257232666,11.413971900939941,124.23526763916016,10.687945365905762,13.949999809265137
2010-01-14,4.559112875358036,4.578757019359547,4.4716091634346355,4.513575553894043,18298784.911576565,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,5.269925117492676,11.698209762573242,123.27568054199219,10.623062133789062,13.930000305175781
2010-01-15,4.5260776049445575,4.527863262705736,4.419823304387202,4.468039512634277,21821712.33926793,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,5.185077667236328,11.316263198852539,121.35637664794922,10.456208229064941,13.25
